Index	Name	Degree	Strength	Clustering	Clustering_Weighted	Efficiency	Efficiency_Weighted	Betweenness	Betweenness_Weighted
8	11	3	1942	1.00000000000000	721.12274084035823	0.26675170068027	0.00046142880329	0.00000000000000	0.00000000000000
9	12	4	2595	0.66666666666667	501.91814459585612	0.30514455782313	0.00055401600319	0.00603049300528	0.00925324675325
10	13	6	3230	0.73333333333333	571.13320678928574	0.34379251700680	0.00065988204476	0.00429466552461	0.01461038961039
11	14	7	3789	0.57142857142857	426.82911793626192	0.34085884353741	0.00064442159470	0.01566793645480	0.02297077922078
12	17	7	4050	0.85714285714286	628.74934373814460	0.34974489795918	0.00064860437557	0.00070423623995	0.00178571428571
13	18	5	2951	1.00000000000000	736.33126074953941	0.31704931972789	0.00058061125842	0.00000000000000	0.00000000000000
14	19	11	6115	0.45454545454545	294.09828693325994	0.42351190476190	0.00078496039643	0.06909107840536	0.06931818181818
15	20	7	4037	0.57142857142857	409.56737209305328	0.36611394557823	0.00067814471796	0.03323275269704	0.03785173160173
16	21	3	1649	0.00000000000000	0.00000000000000	0.33244047619048	0.00061675558441	0.25115218115218	0.24829545454545
17	22	2	1142	0.00000000000000	0.00000000000000	0.30297619047619	0.00056939056096	0.04339402427638	0.02404761904762
18	23	1	481	0.00000000000000	0.00000000000000	0.04077380952381	0.00008400558005	0.00000000000000	0.00000000000000
19	24	1	470	0.00000000000000	0.00000000000000	0.04077380952381	0.00008439166514	0.00000000000000	0.00000000000000
20	25	9	5145	0.47222222222222	313.67217274936223	0.39825680272109	0.00074628405701	0.02832139119377	0.03874458874459
21	26	9	5388	0.33333333333333	232.82334998223132	0.40718537414966	0.00074906020060	0.06186762743449	0.07765151515152
22	27	1	512	0.00000000000000	0.00000000000000	0.24204931972789	0.00046279649459	0.00000000000000	0.00000000000000
23	28	2	1000	1.00000000000000	515.00000000000000	0.26221655328798	0.00051047584721	0.00000000000000	0.00000000000000
24	29	5	3066	0.50000000000000	363.56224508026850	0.32653061224490	0.00061704459173	0.02032043911723	0.00995670995671
25	30	6	4068	0.53333333333333	330.94549339476396	0.35272108843537	0.00060254655237	0.02058764771714	0.01277056277056
26	33	4	2380	0.16666666666667	86.36400775764541	0.26237244897959	0.00047151628896	0.10151515151515	0.07711038961039
27	34	5	3063	0.30000000000000	154.41540693556581	0.24364370748299	0.00043413539868	0.05183982683983	0.03863636363636
28	35	10	6804	0.60000000000000	434.59184592801455	0.41755952380952	0.00071060444065	0.04594531685390	0.03172077922078
29	36	10	6750	0.60000000000000	434.43554500466269	0.40569727891156	0.00068855471881	0.02535143673079	0.01544372294372
30	39	3	1779	1.00000000000000	545.91204009885485	0.30718537414966	0.00055190625831	0.00000000000000	0.00000000000000
31	40	2	1246	1.00000000000000	706.00000000000000	0.28728741496599	0.00051233551339	0.00000000000000	0.00000000000000
32	43	2	978	0.00000000000000	0.00000000000000	0.05505952380952	0.00011245873522	0.00259740259740	0.00259740259740
33	44	2	998	0.00000000000000	0.00000000000000	0.05505952380952	0.00011059754321	0.00259740259740	0.00259740259740
34	47	3	1504	0.66666666666667	450.58581339385489	0.22281037414966	0.00042208266030	0.00952380952381	0.02126623376623
35	48	3	1697	0.66666666666667	414.88358278124770	0.19673327664399	0.00036371520739	0.00032467532468	0.00048701298701
36	49	1	555	0.00000000000000	0.00000000000000	0.19453656462585	0.00035323941654	0.00000000000000	0.00000000000000
37	50	2	1188	1.00000000000000	680.00000000000000	0.18780470521542	0.00033037925615	0.00000000000000	0.00000000000000
