0	+Inf	+Inf	+Inf	+Inf	2051	2472	2933	2738	1808	2865	1800	2892	1316	2725	2446	2753	+Inf	+Inf	1707	2225	2795	2877	2203	2334	3499	4019	1895	2331	1832	2981	+Inf	+Inf	4044	4526	4054	4672	2922	3469	1736	2181	3621	4016	725	1806	2683	1201	3363	1906	1224	1940	2283	1775	2386	2347	2278	2350
+Inf	0	652	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf
+Inf	652	0	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf
+Inf	+Inf	+Inf	0	473	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	978	1471	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	497	1001	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf
+Inf	+Inf	+Inf	473	0	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	1451	998	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	970	528	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf
2051	+Inf	+Inf	+Inf	+Inf	0	1338	1745	1622	476	1731	566	1758	1001	1683	1037	1543	+Inf	+Inf	504	1504	1463	1743	1000	1613	2090	2610	778	1197	1263	1970	+Inf	+Inf	2635	3117	2645	3263	1513	2060	1015	978	2212	2607	1326	808	1480	1613	2321	904	827	531	951	641	1252	1213	1068	1216
2472	+Inf	+Inf	+Inf	+Inf	1338	0	1614	1016	1736	497	1793	496	1474	1003	1600	1032	+Inf	+Inf	1668	503	1785	970	1488	1149	2653	3173	1254	742	1990	1259	+Inf	+Inf	3198	3680	3208	3826	2076	2623	992	1194	2775	3170	1747	1513	811	2086	1641	1246	1248	1094	1273	697	902	796	557	1012
2933	+Inf	+Inf	+Inf	+Inf	1745	1614	0	598	2221	2111	2163	2110	1679	1611	2187	2646	+Inf	+Inf	1241	1111	3208	2584	745	599	3240	3760	2258	2180	2000	1867	+Inf	+Inf	3785	4267	3795	4413	2663	3210	1197	1255	3362	3757	2208	1718	1757	2291	2249	1761	1709	1681	2696	2260	1695	2248	2171	2626
2738	+Inf	+Inf	+Inf	+Inf	1622	1016	598	0	2056	1513	1968	1512	1484	1013	1992	2048	+Inf	+Inf	1118	513	2796	1986	622	862	3045	3565	2063	1582	1877	1269	+Inf	+Inf	3590	4072	3600	4218	2468	3015	1002	1204	3167	3562	2013	1523	1219	2096	1651	1566	1514	1486	2284	1708	1097	1650	1573	2028
1808	+Inf	+Inf	+Inf	+Inf	476	1736	2221	2056	0	1463	581	2054	1065	2002	1513	2017	+Inf	+Inf	980	1543	987	1475	1476	1652	2566	3086	624	1433	1557	2299	+Inf	+Inf	3111	3593	3121	3739	1989	2536	1054	1454	2688	3083	1083	1053	1956	1559	2640	490	584	1007	475	1039	1650	1611	1542	948
2865	+Inf	+Inf	+Inf	+Inf	1731	497	2111	1513	1463	0	2044	591	1959	1058	2097	1529	+Inf	+Inf	1462	1000	1500	473	1958	1644	3150	3670	1465	619	2221	1752	+Inf	+Inf	3695	4177	3705	4323	2573	3120	1489	988	3272	3667	2140	2010	1262	2571	1696	1639	1641	1591	988	1090	500	594	1054	515
1800	+Inf	+Inf	+Inf	+Inf	566	1793	2163	1968	581	2044	0	2213	484	1955	1603	2074	+Inf	+Inf	981	1455	1568	2056	1462	1564	2656	3176	722	1652	976	2211	+Inf	+Inf	3201	3683	3211	3829	2079	2626	966	1455	2778	3173	1075	472	1957	1096	2593	547	678	1097	1056	1096	1707	1668	1599	1529
2892	+Inf	+Inf	+Inf	+Inf	1758	496	2110	1512	2054	591	2213	0	1965	1064	2096	1528	+Inf	+Inf	1468	999	2091	1064	1964	1645	3149	3669	1674	701	2227	1755	+Inf	+Inf	3694	4176	3704	4322	2572	3119	1488	994	3271	3666	2167	2009	1307	2577	1702	1666	1668	1590	1579	1117	506	657	1053	1106
1316	+Inf	+Inf	+Inf	+Inf	1001	1474	1679	1484	1065	1959	484	1965	0	1471	1139	1645	+Inf	+Inf	497	971	1568	2056	978	1080	2192	2712	579	1692	516	1727	+Inf	+Inf	2737	3219	2747	3365	1615	2162	482	971	2314	2709	591	490	1473	612	2109	590	641	633	1056	1136	1459	1708	1170	1529
2725	+Inf	+Inf	+Inf	+Inf	1683	1003	1611	1013	2002	1058	1955	1064	1471	0	1658	1090	+Inf	+Inf	1496	500	2039	1531	1485	1146	2711	3231	1675	569	1987	1010	+Inf	+Inf	3256	3738	3266	3884	2134	2681	989	1022	2833	3228	2000	1510	520	2083	638	1553	1501	1152	1527	1118	558	637	615	1054
2446	+Inf	+Inf	+Inf	+Inf	1037	1600	2187	1992	1513	2097	1603	2096	1139	1658	0	667	+Inf	+Inf	1541	1479	2162	2570	1486	1588	1053	1573	1173	1710	1655	2024	+Inf	+Inf	1598	2080	1608	2226	476	1023	990	1738	1175	1570	1721	1511	1534	1751	2296	1125	1222	506	1650	1546	1676	1763	1043	2121
2753	+Inf	+Inf	+Inf	+Inf	1543	1032	2646	2048	2017	1529	2074	1528	1645	1090	667	0	+Inf	+Inf	1942	1535	2066	2002	1992	2094	1720	2240	1535	1142	2161	1456	+Inf	+Inf	2265	2747	2275	2893	1143	1690	1496	1468	1842	2237	2028	2017	966	2257	1728	1527	1529	1012	1554	978	1108	1195	475	1553
+Inf	+Inf	+Inf	978	1451	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	0	2449	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	481	1979	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf
+Inf	+Inf	+Inf	1471	998	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	2449	0	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	1968	470	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf	+Inf
1707	+Inf	+Inf	+Inf	+Inf	504	1668	1241	1118	980	1462	981	1468	497	1496	1541	1942	+Inf	+Inf	0	1165	1967	1935	496	1130	2594	3114	1076	1590	759	1466	+Inf	+Inf	3139	3621	3149	3767	2017	2564	715	474	2716	3111	982	634	976	1109	2134	583	483	1035	1455	1034	962	1606	1467	1609
2225	+Inf	+Inf	+Inf	+Inf	1504	503	1111	513	1543	1000	1455	999	971	500	1479	1535	+Inf	+Inf	1165	0	2283	1473	985	646	2532	3052	1550	1069	1487	756	+Inf	+Inf	3077	3559	3087	3705	1955	2502	489	691	2654	3049	1500	1010	706	1583	1138	1053	1001	973	1771	1195	584	1137	1060	1515
