-22	-36	4
-38	-62	22
-10	10	44
8	50	12
12	34	2
-6	22	-6
32	-12	-18
-30	16	-18
-8	-64	-48
24	-68	-42
50	26	0
-49	19	8
-10	58	6
-36	8	36
56	-4	-30
-25	-70	0
-20	-92	-2
18	-40	-15
44	-16	-28
-14	-10	30
-36	-34	10
24	24	-18
24	6	-13
-58	-29	15
-12	-54	34
10	-14	-18
-20	32	54
12	4	74
-60	-10	-6
-56	-52	26
-54	-20	-10
26	-44	-28
-14	0	74
4	8	48
-12	22	26
-6	-24	-14
14	-100	6
10	-90	2
-34	-38	52
-48	-28	58
-22	-52	-32
16	-34	30
28	-46	26
-16	-30	28
-40	-10	26
