Index	Name	Degree	Strength	Clustering	Clustering_Weighted	Average_Path_Length	Average_Path_Length_Weighted	Maximum_Path_Length	Maximum_Path_Length_Weighted	Efficiency	Efficiency_Weighted	Betweenness	Betweenness_Weighted
1	1	1	691	0.00000000000000	0.00000000000000	4.89090909090909	2836.27272727272748	10	5371	0.24672438672439	0.00041479366405	0.00000000000000	0.00000000000000
2	3	2	1185	0.00000000000000	0.00000000000000	6.16363636363636	3348.85454545454559	13	6826	0.21574269165178	0.00039660422264	0.03636363636364	0.03636363636364
3	4	1	692	0.00000000000000	0.00000000000000	7.14545454545455	4028.27272727272748	14	7518	0.17382349973259	0.00030000561660	0.00000000000000	0.00000000000000
4	7	2	998	0.00000000000000	0.00000000000000	6.98181818181818	3702.61818181818171	12	6510	0.18847238619966	0.00036179679674	0.07138047138047	0.07138047138047
5	8	2	1008	0.00000000000000	0.00000000000000	7.92727272727273	4165.89090909090919	13	7000	0.16751233614870	0.00032376076277	0.03636363636364	0.03636363636364
6	9	9	6217	0.66666666666667	501.69476001746909	3.10909090909091	1775.27272727272725	8	4299	0.44837662337662	0.00074430235543	0.02067302585455	0.01131874298541
7	10	9	6090	0.66666666666667	500.96093775070779	3.14545454545455	1776.61818181818171	8	4335	0.44534632034632	0.00074951301183	0.02921334115749	0.04545454545455
8	11	3	1948	1.00000000000000	743.24576373032085	4.67272727272727	2648.96363636363640	11	5870	0.29080152171061	0.00049309185599	0.00000000000000	0.00000000000000
9	12	4	2691	0.66666666666667	510.69856094876440	4.27272727272727	2354.36363636363649	10	5281	0.32975468975469	0.00056919118369	0.00646417504362	0.01127946127946
10	13	5	2836	0.60000000000000	500.71250364207197	3.63636363636364	1994.47272727272730	8	4557	0.36569264069264	0.00066506272437	0.03665809125405	0.06188552188552
11	14	7	3808	0.52380952380952	400.41769429870249	3.74545454545455	2004.16363636363644	8	4408	0.37463203463203	0.00069686950306	0.02452424946858	0.03552188552189
12	17	7	4196	0.80952380952381	613.76230845561133	3.72727272727273	2055.70909090909072	8	4568	0.37705627705628	0.00067127912319	0.00338383838384	0.00925925925926
13	18	5	3042	1.00000000000000	735.33896939610315	3.92727272727273	2142.52727272727270	9	4707	0.34786435786436	0.00061905367534	0.00000000000000	0.00000000000000
14	19	11	6289	0.43636363636364	298.20081563808100	3.30909090909091	1828.21818181818185	9	4693	0.44585137085137	0.00079712097549	0.08218188547660	0.09787317620651
15	20	7	4159	0.61904761904762	441.79171013842995	3.47272727272727	1902.87272727272716	9	4778	0.39948773448773	0.00071288835386	0.04035485635727	0.03852413019080
16	21	4	2205	0.33333333333333	176.46302669529379	3.10909090909091	1705.76363636363635	9	4664	0.39901154401154	0.00072141319804	0.35199761386036	0.34882154882155
17	22	2	1176	1.00000000000000	491.00000000000000	3.65454545454545	1996.40000000000009	9	4678	0.32870851370851	0.00059657727791	0.00000000000000	0.00000000000000
18	23	2	1030	0.00000000000000	0.00000000000000	5.20000000000000	2777.38181818181829	10	5471	0.23978354978355	0.00045393610311	0.13737373737374	0.13737373737374
